label,type,Experiment,item,Question,Condition,Correct_Answer,Question_type,group,sentence,alternative,match
rc_a_1,rc,RCs_SPR_ET,1,那个顾客听说过老板吗?,a,1,1,list1,那个 昨晚 揍了 服务生 一顿 的 顾客 听说过 老板 并且 记得 他。,X-X-X 深厚 产销 生产物 法权 则 氏族 洋铁桶 半径 分子 要素 集权。,0
rc_b_1,rc,RCs_SPR_ET,1,那个顾客听说过老板吗？,b,1,1,list2,那个 昨晚 服务生 揍了 一顿 的 顾客 听说过 老板 并且 记得 他。,X-X-X 深厚 牛全德 政体 法权 则 氏族 洋铁桶 半径 分子 要素 集权。,0
rc_c_1,rc,RCs_SPR_ET,1,那个顾客听说过老板吗？,c,2,1,list3,老板 听说过 那个 昨晚 揍了 服务生 一顿 的 顾客 并且 通知了 记者。,X-X-X 朱占标 时期 所致 冯俭 独创性 抗病 次 适宜 丰富 比例尺 高占武。,0
rc_d_1,rc,RCs_SPR_ET,1,那个顾客听说过老板吗？,d,2,1,list4,老板 听说过 那个 昨晚 服务生 揍了 一顿 的 顾客 并且 通知了 记者。,X-X-X 朱占标 时期 所致 科学化 以东 抗病 次 适宜 丰富 比例尺 高占武。,0
rc_a_2,rc,RCs_SPR_ET,2,摩托车追了那辆轿车吗？,a,2,2,list1,那辆 下午 追了 摩托车 很久 的 轿车 发现了 记者 所以 停了 下来。,X-X-X 生理 空洞 大气层 溶于 们 声中 维新派 政权 物质 熔点 领导权。,0
rc_b_2,rc,RCs_SPR_ET,2,摩托车追了那辆轿车吗？,b,1,2,list2,那辆 下午 摩托车 追了 很久 的 轿车 发现了 记者 所以 停了 下来。,X-X-X 生理 印度洋 推算 溶于 们 声中 维新派 政权 物质 熔点 领导权。,0
rc_c_2,rc,RCs_SPR_ET,2,摩托车追了那辆轿车吗？,c,2,2,list3,记者 发现了 那辆 下午 追了 摩托车 很久 的 轿车 所以 停了 下来。,X-X-X 感受器 宗法 看出 右派 大生产 流派 象 减退 结构 写意 红细胞。,0
rc_d_2,rc,RCs_SPR_ET,2,摩托车追了那辆轿车吗？,d,1,2,list4,记者 发现了 那辆 下午 摩托车 追了 很久 的 轿车 所以 停了 下来。,X-X-X 感受器 宗法 看出 小嘎子 广度 流派 象 减退 结构 写意 红细胞。,0
rc_a_3,rc,RCs_SPR_ET,3,女孩打了男孩吗？,a,1,3,list1,那个 今天 打了 男孩 几次 的 女孩 看到了 校长 所以 假装 在读书。,X-X-X 实行 选集 试制 师团 成 以北 单位制 定律 工业 又名 安定团结。,0
rc_b_3,rc,RCs_SPR_ET,3,女孩打了男孩吗？,b,2,3,list2,那个 今天 男孩 打了 几次 的 女孩 看到了 校长 所以 假装 在读书。,X-X-X 实行 定量 叔同 师团 成 以北 单位制 定律 工业 又名 安定团结。,0
