label,type,Experiment,item,Question,Condition,Correct_Answer,Question_type,group,sentence,Phrase1,Phrase2,Phrase3,Phrase4,Phrase5,Phrase6,Phrase7,Phrase8,Phrase9,Phrase10,Phrase11,Phrase12,Phrase13,Phrase14,alternative,match
rc_a_1,rc,RCs_SPR_ET,1,那个顾客听说过老板吗?,a,1,1,list1,那个 昨晚 揍了 服务生 一顿 的 顾客 听说过 老板 并且 记得 他。,那个,昨晚,揍了,服务生,一顿,的,顾客,听说过,老板,并且,记得,他。,,,X-X-X 毁灭 茫茫 象征性 痉挛 种 繁荣 二十四 开拓 矛盾 层次 种。,0
rc_b_1,rc,RCs_SPR_ET,1,那个顾客听说过老板吗？,b,1,1,list2,那个 昨晚 服务生 揍了 一顿 的 顾客 听说过 老板 并且 记得 他。,那个,昨晚,服务生,揍了,一顿,的,顾客,听说过,老板,并且,记得,他。,,,X-X-X 毁灭 象征性 茫茫 痉挛 种 繁荣 二十四 开拓 矛盾 层次 种。,0
rc_c_1,rc,RCs_SPR_ET,1,那个顾客听说过老板吗？,c,2,1,list3,老板 听说过 那个 昨晚 揍了 服务生 一顿 的 顾客 并且 通知了 记者。,老板,听说过,那个,昨晚,揍了,服务生,一顿,的,顾客,并且,通知了,记者。,,,X-X-X 徐悲鸿 矛盾 毁灭 钥匙 赤裸裸 敦煌 种 繁荣 阶段 氯酸钾 缺乏。,0
rc_d_1,rc,RCs_SPR_ET,1,那个顾客听说过老板吗？,d,2,1,list4,老板 听说过 那个 昨晚 服务生 揍了 一顿 的 顾客 并且 通知了 记者。,老板,听说过,那个,昨晚,服务生,揍了,一顿,的,顾客,并且,通知了,记者。,,,X-X-X 徐悲鸿 矛盾 毁灭 赤裸裸 钥匙 敦煌 种 繁荣 阶段 氯酸钾 缺乏。,0
rc_a_2,rc,RCs_SPR_ET,2,摩托车追了那辆轿车吗？,a,2,2,list1,那辆 下午 追了 摩托车 很久 的 轿车 发现了 记者 所以 停了 下来。,那辆,下午,追了,摩托车,很久,的,轿车,发现了,记者,所以,停了,下来。,,,X-X-X 欣赏 蘑菇 笑嘻嘻 滋味 种 扣除 碳酸钠 缺乏 研究 萝卜 环境。,0
rc_b_2,rc,RCs_SPR_ET,2,摩托车追了那辆轿车吗？,b,1,2,list2,那辆 下午 摩托车 追了 很久 的 轿车 发现了 记者 所以 停了 下来。,那辆,下午,摩托车,追了,很久,的,轿车,发现了,记者,所以,停了,下来。,,,X-X-X 欣赏 笑嘻嘻 蘑菇 滋味 种 扣除 碳酸钠 缺乏 研究 萝卜 环境。,0
rc_c_2,rc,RCs_SPR_ET,2,摩托车追了那辆轿车吗？,c,2,2,list3,记者 发现了 那辆 下午 追了 摩托车 很久 的 轿车 所以 停了 下来。,记者,发现了,那辆,下午,追了,摩托车,很久,的,轿车,所以,停了,下来。,,,X-X-X 石灰岩 脊髓 欣赏 魔鬼 笑嘻嘻 滋味 种 严谨 研究 骨髓 环境。,0
rc_d_2,rc,RCs_SPR_ET,2,摩托车追了那辆轿车吗？,d,1,2,list4,记者 发现了 那辆 下午 摩托车 追了 很久 的 轿车 所以 停了 下来。,记者,发现了,那辆,下午,摩托车,追了,很久,的,轿车,所以,停了,下来。,,,X-X-X 石灰岩 脊髓 欣赏 笑嘻嘻 魔鬼 滋味 种 严谨 研究 骨髓 环境。,0
rc_a_3,rc,RCs_SPR_ET,3,女孩打了男孩吗？,a,1,3,list1,那个 今天 打了 男孩 几次 的 女孩 看到了 校长 所以 假装 在读书。,那个,今天,打了,男孩,几次,的,女孩,看到了,校长,所以,假装,在读书。,,,X-X-X 十分 浙江 盼望 贫乏 种 贮藏 碳酸钙 仅仅 研究 淤泥 脂肪酸。,0
rc_b_3,rc,RCs_SPR_ET,3,女孩打了男孩吗？,b,2,3,list2,那个 今天 男孩 打了 几次 的 女孩 看到了 校长 所以 假装 在读书。,那个,今天,男孩,打了,几次,的,女孩,看到了,校长,所以,假装,在读书。,,,X-X-X 十分 盼望 浙江 贫乏 种 贮藏 碳酸钙 仅仅 研究 淤泥 脂肪酸。,0
rc_c_3,rc,RCs_SPR_ET,3,女孩打了男孩吗？,c,1,3,list3,校长 看到了 那个 今天 打了 男孩 几次 的 女孩 所以 上前 询问。,校长,看到了,那个,今天,打了,男孩,几次,的,女孩,所以,上前,询问。,,,X-X-X 葡萄牙 矛盾 增加 僧侣 盼望 柑桔 种 贮藏 研究 纲领 杭州。,0
rc_d_3,rc,RCs_SPR_ET,3,女孩打了男孩吗？,d,2,3,list4,校长 看到了 那个 今天 男孩 打了 几次 的 女孩 所以 上前 询问。,校长,看到了,那个,今天,男孩,打了,几次,的,女孩,所以,上前,询问。,,,X-X-X 葡萄牙 矛盾 增加 盼望 僧侣 柑桔 种 贮藏 研究 纲领 杭州。,0
rc_a_4,rc,RCs_SPR_ET,4,警察拦住了吉普车吗？,a,2,4,list1,那辆 当时 撞了 自行车 两次 的 吉普车 拦住了 警察 并且 要求 调查清楚。,那辆,当时,撞了,自行车,两次,的,吉普车,拦住了,警察,并且,要求,调查清楚。,,,X-X-X 解决 溃疡 能不能 咕咕 种 有把握 黑猩猩 干燥 实践 教育 环境污染。,0
rc_b_4,rc,RCs_SPR_ET,4,警察拦住了吉普车吗？,b,2,4,list2,那辆 当时 自行车 撞了 两次 的 吉普车 拦住了 警察 并且 要求 调查清楚。,那辆,当时,自行车,撞了,两次,的,吉普车,拦住了,警察,并且,要求,调查清楚。,,,X-X-X 解决 能不能 溃疡 咕咕 种 有把握 黑猩猩 干燥 实践 教育 环境污染。,0
rc_c_4,rc,RCs_SPR_ET,4,警察拦住了吉普车吗？,c,1,4,list3,警察 拦住了 那辆 当时 撞了 自行车 两次 的 吉普车 并且 要求 调查清楚。,警察,拦住了,那辆,当时,撞了,自行车,两次,的,吉普车,并且,要求,调查清楚。,,,X-X-X 徐悲鸿 憧憬 解决 脸庞 称之为 咨询 种 笑嘻嘻 矛盾 教育 文艺复兴。,0
rc_d_4,rc,RCs_SPR_ET,4,警察拦住了吉普车吗？,d,1,4,list4,警察 拦住了 那辆 当时 自行车 撞了 两次 的 吉普车 并且 要求 调查清楚。,警察,拦住了,那辆,当时,自行车,撞了,两次,的,吉普车,并且,要求,调查清楚。,,,X-X-X 徐悲鸿 憧憬 解决 称之为 脸庞 咨询 种 笑嘻嘻 矛盾 教育 文艺复兴。,0
rc_a_5,rc,RCs_SPR_ET,5,妇人抢了店员吗？,a,1,1,list2,那个 刚才 推了 男孩 一下 的 妇人 抢了 店员 并且 打伤了 她。,那个,刚才,推了,男孩,一下,的,妇人,抢了,店员,并且,打伤了,她。,,,X-X-X 溶液 陕西 淡淡 基础 种 凝视 虔诚 徘徊 获得 郭沫若 种。,0
rc_b_5,rc,RCs_SPR_ET,5,妇人抢了店员吗？,b,1,1,list3,那个 刚才 男孩 推了 一下 的 妇人 抢了 店员 并且 打伤了 她。,那个,刚才,男孩,推了,一下,的,妇人,抢了,店员,并且,打伤了,她。,,,X-X-X 溶液 淡淡 陕西 基础 种 凝视 虔诚 徘徊 获得 郭沫若 种。,0
